Name,Type,Award,Sizes,120ml,1ltr,2ltr,2.4ltr,4ltr,4.5ltr,10ltr
Clotted Cream Vanilla,Normal,Taste of the West (Gold),"['120ml', '1ltr', '2ltr', '4ltr', '4.5ltr', '10ltr']",True,True,True,False,True,True,True
Dairy Vanilla,Normal,,"['1ltr', '2ltr', '4ltr']",False,True,True,False,True,False,False
Banana,Normal,,"['1ltr', '4ltr', '4.5ltr']",False,True,False,False,True,True,False
Banoffee,Normal,,"['1ltr', '4ltr', '4.5ltr']",False,True,False,False,True,True,False
Biscoff,Normal,Taste of the West (Silver),"['1ltr', '4ltr', '4.5ltr', '10ltr']",False,True,False,False,True,True,True
Black & Blue,Normal,,"['1ltr', '4ltr']",False,True,False,False,True,False,False
Blackberry Crumble,Normal,,"['1ltr', '2ltr', '4ltr', '4.5ltr']",False,True,True,False,True,True,False
Black Cherry,Normal,,"['1ltr', '4ltr', '4.5ltr']",False,True,False,False,True,True,False
Blackcurrant (Ice Cream),Normal,,"['1ltr', '4ltr', '4.5ltr', '10ltr']",False,True,False,False,True,True,True
Candyfloss,Normal,,"['1ltr', '4ltr', '4.5ltr', '10ltr']",False,True,False,False,True,True,True
Caramel Crunch,Normal,,"['1ltr', '2ltr', '4ltr', '4.5ltr']",False,True,True,False,True,True,False
Caffe Latte,Normal,,"['1ltr', '4ltr']",False,True,False,False,True,False,False
Cappuccino Crunch,Normal,Taste of the West (Gold),"['120ml', '1ltr', '4ltr', '4.5ltr']",True,True,False,False,True,True,False
Cherry Bakewell,Normal,,"['1ltr', '4ltr', '4.5ltr']",False,True,False,False,True,True,False
Chocolate Orange,Normal,,"['1ltr', '4.5ltr', '10ltr']",False,True,False,False,False,True,True
Chunky Ginger,Normal,,"['1ltr', '4ltr', '4.5ltr', '10ltr']",False,True,False,False,True,True,True
Coffee Mocha,Normal,,"['1ltr', '2ltr', '4ltr', '4.5ltr']",False,True,True,False,True,True,False
Coconut Cream,Normal,,"['1ltr', '4ltr', '4.5ltr']",False,True,False,False,True,True,False
Cookie Dough,Normal,,"['1ltr', '4ltr', '4.5ltr', '10ltr']",False,True,False,False,True,True,True
Chocolate Caramel Crunch,Normal,,"['1ltr', '4ltr', '4.5ltr']",False,True,False,False,True,True,False
Double Choc,Normal,,"['120ml', '1ltr', '2ltr', '4ltr', '4.5ltr', '10ltr']",True,True,True,False,True,True,True
Eton Mess,Normal,,"['1ltr', '4ltr', '4.5ltr']",False,True,False,False,True,True,False
Honeycomb,Normal,,"['120ml', '1ltr', '4ltr', '4.5ltr', '10ltr']",True,True,False,False,True,True,True
Lemon Crunch,Normal,,"['1ltr', '4.5ltr']",False,True,False,False,False,True,False
Lemon Meringue,Normal,,"['1ltr', '4ltr', '4.5ltr', '10ltr']",False,True,False,False,True,True,True
Malty Munch,Normal,,"['120ml', '1ltr', '2ltr', '4ltr', '4.5ltr']",True,True,True,False,True,True,False
Mango Swirl,Normal,,"['1ltr', '4.5ltr']",False,True,False,False,False,True,False
Maple & Walnut,Normal,,"['1ltr', '4ltr', '4.5ltr']",False,True,False,False,True,True,False
Mint Choc Chunk,Normal,,"['120ml', '1ltr', '2ltr', '4ltr', '4.5ltr', '10ltr']",True,True,True,False,True,True,True
Nuttytella,Normal,,"['1ltr', '4ltr', '4.5ltr', '10ltr']",False,True,False,False,True,True,True
